antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,antecedents_len,consequents_len,interesting
frozenset({'TX.VAL.FUEL.ZS.UN@high'}),frozenset({'EN.ATM.CO2E.KT@high'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,1,1,True
frozenset({'TX.VAL.FOOD.ZS.UN@below_average'}),frozenset({'EN.ATM.CO2E.KT@high'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,1,1,True
frozenset({'TM.VAL.FUEL.ZS.UN@average'}),frozenset({'EN.ATM.CO2E.KT@high'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,1,1,True
frozenset({'TM.VAL.FOOD.ZS.UN@average'}),frozenset({'EN.ATM.CO2E.KT@high'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,1,1,True
frozenset({'NY.GDP.PCAP.CD@average'}),frozenset({'EN.ATM.CO2E.KT@high'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,1,1,True
frozenset({'EG.FEC.RNEW.ZS@below_average'}),frozenset({'EN.ATM.CO2E.KT@high'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,1,1,True
frozenset({'EG.ELC.RNEW.ZS@average'}),frozenset({'EN.ATM.CO2E.KT@high'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,1,1,True
frozenset({'EG.ELC.ACCS.ZS@high'}),frozenset({'EN.ATM.CO2E.KT@high'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,1,1,True
frozenset({'AG.LND.FRST.ZS@above_average'}),frozenset({'EN.ATM.CO2E.KT@high'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,1,1,True
frozenset({'AG.LND.AGRI.ZS@average'}),frozenset({'EN.ATM.CO2E.KT@high'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,1,1,True
